Rank,Full Journal Title,ISSN
5632,Cultural Diversity & Ethnic Minority Psychology,1099-9809
5632,Fire Ecology,1933-9747
5632,Interactive Cardiovascular and Thoracic Surgery,1569-9293
5632,JOURNAL OF APPLIED GENETICS,1234-1983
5632,JOURNAL OF VIROLOGICAL METHODS,0166-0934
5639,European Political Science Review,1755-7739
5639,INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,0219-6220
5639,Medicina Intensiva,0210-5691
5639,TRANSFUSION AND APHERESIS SCIENCE,1473-0502
5643,IEEE Journal of Translational Engineering in Health and Medicine-JTEHM,2168-2372
5643,Journal of Inorganic and Organometallic Polymers and Materials,1574-1443
5645,JOURNAL OF SENSORY STUDIES,0887-8250
5646,Journal of Pediatric and Adolescent Gynecology,1083-3188
5646,Proceedings of the Romanian Academy Series A-Mathematics Physics Technical Sciences Information Science,1454-9069
5648,CLINICS IN SPORTS MEDICINE,0278-5919
5648,FINANCE AND STOCHASTICS,0949-2984
5648,FINANCE AND STOCHASTICS,0949-2984
5648,GAIA-Ecological Perspectives for Science and Society,0940-5550
5648,GAIA-Ecological Perspectives for Science and Society,0940-5550
5648,INTERNATIONAL REGIONAL SCIENCE REVIEW,0160-0176
5648,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS,0035-9254
5648,Journal of Network and Systems Management,1064-7570
5648,Journal of Prosthodontics-Implant Esthetic and Reconstructive Dentistry,1059-941X
5648,MATHEMATICS OF COMPUTATION,0025-5718
5648,REHABILITATION PSYCHOLOGY,0090-5550
5648,REQUIREMENTS ENGINEERING,0947-3602
5660,AMERICAN BEHAVIORAL SCIENTIST,0002-7642
5660,PROPELLANTS EXPLOSIVES PYROTECHNICS,0721-3115
5662,Analysis & PDE,1948-206X
5663,COMPUTERS & ELECTRICAL ENGINEERING,0045-7906
5663,RUBBER CHEMISTRY AND TECHNOLOGY,0035-9475
5665,BRITISH JOURNAL OF SOCIAL WORK,0045-3102
5665,JOURNAL OF OCEANOGRAPHY,0916-8370
5667,JOURNAL OF SOL-GEL SCIENCE AND TECHNOLOGY,0928-0707
5668,COMBUSTION THEORY AND MODELLING,1364-7830
5668,GEOPHYSICAL PROSPECTING,0016-8025
5668,IEEE TRANSACTIONS ON VERY LARGE SCALE INTEGRATION (VLSI) SYSTEMS,1063-8210
5668,JOURNAL OF THE ACM,0004-5411
5668,MINERALOGICAL MAGAZINE,0026-461X
5668,MOLECULAR AND BIOCHEMICAL PARASITOLOGY,0166-6851
5668,Metabolic Syndrome and Related Disorders,1540-4196
5675,CULTURE HEALTH & SEXUALITY,1369-1058
5675,EUROPEAN JOURNAL OF MEDICAL RESEARCH,0949-2321
5675,International Journal of Mobile Communications,1470-949X
5675,JOURNAL OF CRYSTAL GROWTH,0022-0248
5675,JOURNAL OF GLAUCOMA,1057-0829
5675,JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION,1096-2247
5675,PATHOLOGY INTERNATIONAL,1320-5463
5682,CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,0944-2669
5682,FOREST PATHOLOGY,1437-4781
5684,ANNALES HENRI POINCARE,1424-0637
5684,JOURNAL OF ENGINEERING FOR GAS TURBINES AND POWER-TRANSACTIONS OF THE ASME,0742-4795
5684,MEMOIRS OF THE AMERICAN MATHEMATICAL SOCIETY,0065-9266
5684,Magnetic Resonance Imaging Clinics of North America,1064-9689
5684,OBSTETRICS AND GYNECOLOGY CLINICS OF NORTH AMERICA,0889-8545
5684,PHOTOSYNTHETICA,0300-3604
5690,IET Microwaves Antennas & Propagation,1751-8725
5691,INTERNATIONAL DEVELOPMENT PLANNING REVIEW,1474-6743
5691,JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE,1099-3460
5691,SOCIAL SERVICE REVIEW,0037-7961
5691,TELLUS SERIES A-DYNAMIC METEOROLOGY AND OCEANOGRAPHY,1600-0870
5695,EURASIP Journal on Image and Video Processing,1687-5281
5696,CLINICAL NEUROLOGY AND NEUROSURGERY,0303-8467
5696,DIABETES EDUCATOR,0145-7217
5696,DIABETES EDUCATOR,0145-7217
5699,FEMS MICROBIOLOGY LETTERS,0378-1097
5699,FISH PHYSIOLOGY AND BIOCHEMISTRY,0920-1742
5699,INTERNATIONAL ECONOMIC REVIEW,0020-6598
5699,Journalism Studies,1461-670X
5699,PUNISHMENT & SOCIETY-INTERNATIONAL JOURNAL OF PENOLOGY,1462-4745
5704,CRITICAL REVIEWS IN EUKARYOTIC GENE EXPRESSION,1045-4403
5705,GEO-MARINE LETTERS,0276-0460
5705,Patient Preference and Adherence,1177-889X
5705,Zebrafish,1545-8547
5708,AGRICULTURAL ECONOMICS,0169-5150
5708,AGRICULTURAL ECONOMICS,0169-5150
5710,CURRENT PROBLEMS IN SURGERY,0011-3840
5710,Italian Journal of Geosciences,2038-1719
5710,JOURNAL OF TEACHING IN PHYSICAL EDUCATION,0273-5024
5710,JOURNAL OF TEACHING IN PHYSICAL EDUCATION,0273-5024
5710,Revista Portuguesa de Pneumologia,0873-2159
5715,AMERICAN HISTORICAL REVIEW,0002-8762
5715,AUSTRAL ECOLOGY,1442-9985
5715,Accounting Horizons,0888-7993
5715,HEART & LUNG,0147-9563
5715,Nanomaterials and Nanotechnology,1847-9804
5720,AMERICAN JOURNAL OF INDUSTRIAL MEDICINE,0271-3586
5720,BIOLOGY OF SPORT,0860-021X
5720,European Journal of Emergency Medicine,0969-9546
5720,JOURNAL OF SEA RESEARCH,1385-1101
5720,PHYSICA STATUS SOLIDI B-BASIC SOLID STATE PHYSICS,0370-1972
5725,ETR&D-EDUCATIONAL TECHNOLOGY RESEARCH AND DEVELOPMENT,1042-1629
5725,JOURNAL OF INTERVENTIONAL CARDIOLOGY,0896-4327
5725,MICRON,0968-4328
5728,ACM Transactions on Internet Technology,1533-5399
5728,FAMILY RELATIONS,0197-6664
5728,GEOCHEMICAL TRANSACTIONS,1467-4866
5728,JOURNAL OF FLUENCY DISORDERS,0094-730X
5728,JOURNAL OF FLUENCY DISORDERS,0094-730X
5728,World Mycotoxin Journal,1875-0710
5734,International Neurourology Journal,2093-4777
5734,Journal of Chemistry,2090-9063
5736,Career Development International,1362-0436
5736,International Journal of Computerized Dentistry,1463-4201
5736,NURSING RESEARCH,0029-6562
5736,NURSING RESEARCH,0029-6562
5740,BIOCHEMISTRY-MOSCOW,0006-2979
5740,European Journal of Social Theory,1368-4310
5740,Journal of Youth Studies,1367-6261
5740,MODERN LAW REVIEW,0026-7961
5744,Biomedical Journal,2319-4170
5744,CHEMIE DER ERDE-GEOCHEMISTRY,0009-2819
5744,ISPRS International Journal of Geo-Information,2220-9964
5744,Journal of Physical Activity & Health,1543-3080
5744,TRIBOLOGY TRANSACTIONS,1040-2004
5744,WAVE MOTION,0165-2125
5750,Journal of Psychiatric Practice,1527-4160
5750,Radiology and Oncology,1318-2099
5750,Software and Systems Modeling,1619-1366
5753,APPLIED ACOUSTICS,0003-682X
5753,BULLETIN OF ENTOMOLOGICAL RESEARCH,0007-4853
5753,GENERAL RELATIVITY AND GRAVITATION,0001-7701
5753,PHYTOCOENOLOGIA,0340-269X
5757,EUROPEAN CYTOKINE NETWORK,1148-5493
5758,AMB Express,2191-0855
5758,JOURNAL OF TOXICOLOGICAL SCIENCES,0388-1350
5758,Journal of International Financial Markets Institutions & Money,1042-4431
5758,PHYSICAL & OCCUPATIONAL THERAPY IN PEDIATRICS,0194-2638
5758,PHYSICAL & OCCUPATIONAL THERAPY IN PEDIATRICS,0194-2638
5763,International Journal of Polymer Science,1687-9422
5763,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-APPLIED,1076-898X
5763,Oral Surgery Oral Medicine Oral Pathology Oral Radiology,2212-4403
5766,INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS,1074-5351
5767,CURRENT NEUROVASCULAR RESEARCH,1567-2026
5768,JOURNAL OF CLUSTER SCIENCE,1040-7278
5769,CARDIOLOGY,0008-6312
5769,Croatian Journal of Forest Engineering,1845-5719
5769,JOURNAL OF ANIMAL SCIENCE,0021-8812
5769,Journal of Hydrology and Hydromechanics,0042-790X
5769,Perspectives on Politics,1537-5927
5769,Psychology of Learning and Motivation,0079-7421
5769,Sport Exercise and Performance Psychology,2157-3905
5776,AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,1058-0360
5776,AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,1058-0360
5776,Geomatics Natural Hazards & Risk,1947-5705
5776,SYMBIOSIS,0334-5114
5780,CHINESE JOURNAL OF CHEMICAL ENGINEERING,1004-9541
5780,Hormones-International Journal of Endocrinology and Metabolism,1109-3099
5782,JOURNAL OF MORPHOLOGY,0362-2525
5782,ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND PHYSIK,0044-2275
5784,HEALTH COMMUNICATION,1041-0236
5784,International Journal for Equity in Health,1475-9276
5784,JOURNAL OF LITERACY RESEARCH,1086-296X
5787,JOURNAL OF SURVEYING ENGINEERING,0733-9453
5787,Journal of Applied Oral Science,1678-7757
5789,JOURNAL OF ATMOSPHERIC CHEMISTRY,0167-7764
5789,Journal of Veterinary Cardiology,1760-2734
5791,CHEMICAL PHYSICS,0301-0104
5791,Critical Care Nurse,0279-5442
5791,Critical Care Nurse,0279-5442
5791,ENFERMEDADES INFECCIOSAS Y MICROBIOLOGIA CLINICA,0213-005X
5795,Advances in Manufacturing,2095-3127
5795,JOURNAL OF CULTURAL HERITAGE,1296-2074
5795,JOURNALISM & MASS COMMUNICATION QUARTERLY,1077-6990
5795,POLITICAL STUDIES,0032-3217
5795,WOOD SCIENCE AND TECHNOLOGY,0043-7719
5800,CORONARY ARTERY DISEASE,0954-6928
5800,Clinical Child Psychology and Psychiatry,1359-1045
5800,Clinical Child Psychology and Psychiatry,1359-1045
5803,Atmosphere,2073-4433
5803,European Journal of Trauma and Emergency Surgery,1863-9933
5803,Journal of Otolaryngology-Head & Neck Surgery,1916-0216
5803,MOLECULAR PHYSICS,0026-8976
5803,Metals,2075-4701
5808,Arthropod Systematics & Phylogeny,1863-7221
5808,JOURNAL OF COORDINATION CHEMISTRY,0095-8972
5808,MULTIMEDIA SYSTEMS,0942-4962
5808,Pathogens and Global Health,2047-7724
5812,ANAESTHESIA AND INTENSIVE CARE,0310-057X
5812,APHASIOLOGY,0268-7038
5812,JOURNAL OF FISH BIOLOGY,0022-1112
5812,Journal of Psychiatric and Mental Health Nursing,1351-0126
5812,Journal of Psychiatric and Mental Health Nursing,1351-0126
5812,PALAIOS,0883-1351
5812,Primary Care Diabetes,1751-9918
5812,Review of International Economics,0965-7576
5820,Complementary Therapies in Clinical Practice,1744-3881
5820,JOURNAL OF MICROBIOLOGICAL METHODS,0167-7012
5820,RENEWABLE AGRICULTURE AND FOOD SYSTEMS,1742-1705
5823,Biotechnology & Genetic Engineering Reviews,0264-8725
5824,Brazilian Journal of Physical Therapy,1413-3555
5824,CHILD CARE HEALTH AND DEVELOPMENT,0305-1862
5824,CHILD CARE HEALTH AND DEVELOPMENT,0305-1862
5824,INTERNATIONAL JOURNAL OF ORAL & MAXILLOFACIAL IMPLANTS,0882-2786
5828,Journal of Genetic Counseling,1059-7700
5828,Journal of Genetic Counseling,1059-7700
5828,SIAM JOURNAL ON APPLIED MATHEMATICS,0036-1399
5831,ETHOLOGY,0179-1613
5831,JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS,0265-4075
5831,POLISH JOURNAL OF FOOD AND NUTRITION SCIENCES,1230-0322
5834,ARTHROPOD STRUCTURE & DEVELOPMENT,1467-8039
5834,BRITISH EDUCATIONAL RESEARCH JOURNAL,0141-1926
5834,ECONOMIC MODELLING,0264-9993
5834,High Energy Density Physics,1574-1818
5834,JOURNAL OF COMMUNICATION DISORDERS,0021-9924
5834,JOURNAL OF COMMUNICATION DISORDERS,0021-9924
5834,NEOPLASMA,0028-2685
5834,SYSTEMATIC AND APPLIED ACAROLOGY,1362-1971
5842,RADIOLOGIC CLINICS OF NORTH AMERICA,0033-8389
5843,BIOLOGICAL & PHARMACEUTICAL BULLETIN,0918-6158
5843,International Journal of Applied Mathematics and Computer Science,1641-876X
5843,International Journal of Mental Health Systems,1752-4458
5843,JOURNAL OF MUSIC THERAPY,0022-2917
5847,JOURNAL OF MICROSCOPY,0022-2720
5847,Journal of Material Cycles and Waste Management,1438-4957
5847,PROBABILISTIC ENGINEERING MECHANICS,0266-8920
5850,BMC Surgery,1471-2482
5850,INTERNATIONAL UROLOGY AND NEPHROLOGY,0301-1623
5852,JOURNAL OF ADHESIVE DENTISTRY,1461-5185
5853,CURRENT ORGANIC SYNTHESIS,1570-1794
5853,JOURNAL OF NONDESTRUCTIVE EVALUATION,0195-9298
5853,Jornal de Pediatria,0021-7557
5856,Applied Sciences-Basel,2076-3417
5856,MOLECULAR AND CELLULAR PROBES,0890-8508
5856,Surgical Infections,1096-2964
5859,BIOMEDICAL CHROMATOGRAPHY,0269-3879
5859,MEDICAL AND VETERINARY ENTOMOLOGY,0269-283X
5861,EXPERIMENTAL HEAT TRANSFER,0891-6152
5862,CHEMICAL PHYSICS LETTERS,0009-2614
5862,JOURNAL FUR DIE REINE UND ANGEWANDTE MATHEMATIK,0075-4102
5862,Journal of Financial Econometrics,1479-8409
5862,TRANSPORTATION JOURNAL,0041-1612
5862,Tropical Plant Biology,1935-9756
5867,Journal of Cardiopulmonary Rehabilitation and Prevention,1932-7501
5867,Journal of Herbal Medicine,2210-8033
5867,MEASUREMENT SCIENCE and TECHNOLOGY,0957-0233
5867,Ships and Offshore Structures,1744-5302
5871,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY,1096-4959
5871,Scandinavian Journal of Urology,2168-1805
5873,Enterprise Information Systems,1751-7575
5873,Journal of Foot and Ankle Research,1757-1146
5873,SILVA FENNICA,0037-5330
5873,Theoretical Economics,1555-7561
5877,CANCER BIOTHERAPY AND RADIOPHARMACEUTICALS,1084-9785
5877,SIAM JOURNAL ON MATRIX ANALYSIS AND APPLICATIONS,0895-4798
5879,EXPERIMENTAL AGRICULTURE,0014-4797
5879,Journal of Ophthalmology,2090-004X
5881,PHYSICS AND CHEMISTRY OF MINERALS,0342-1791
5882,Attention Perception & Psychophysics,1943-3921
5882,Attention Perception & Psychophysics,1943-3921
5882,Journalism Practice,1751-2786
5885,BIOPHARMACEUTICS & DRUG DISPOSITION,0142-2782
5885,Islets,1938-2014
5885,Journal of Infrared Millimeter and Terahertz Waves,1866-6892
5885,Psychological Services,1541-1559
5889,Advances in Calculus of Variations,1864-8258
5889,Biomedical Engineering Online,1475-925X
5889,Journal of Cultural Economics,0885-2545
5892,FAMILY PRACTICE,0263-2136
5892,INSECTES SOCIAUX,0020-1812
5892,ONLINE INFORMATION REVIEW,1468-4527
5892,ONLINE INFORMATION REVIEW,1468-4527
5892,Research in Autism Spectrum Disorders,1750-9467
5897,MARINE AND FRESHWATER RESEARCH,1323-1650
5897,PATTERNS OF PREJUDICE,0031-322X
5897,RESEARCH ON CHEMICAL INTERMEDIATES,0922-6168
5900,Building Simulation,1996-3599
5900,INFANT MENTAL HEALTH JOURNAL,0163-9641
5900,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS,0271-2091
5900,JOURNAL OF RESEARCH IN READING,0141-0423
5900,PLANT SPECIES BIOLOGY,0913-557X
5905,ACM Journal on Emerging Technologies in Computing Systems,1550-4832
5905,Journal of Consumer Culture,1469-5405
5905,Journal of Leadership & Organizational Studies,1548-0518
5908,Dementia-International Journal of Social Research and Practice,1471-3012
5908,JOURNAL OF STRATEGIC STUDIES,0140-2390
5908,LUMINESCENCE,1522-7235
5908,Medicina Oral Patologia Oral y Cirugia Bucal,1698-6946
5912,JOURNAL OF PUBLIC HEALTH,1741-3842
5912,JOURNAL OF PUBLIC HEALTH,1741-3842
5912,Journal of Wound Care,0969-0700
5912,Operative Neurosurgery,2332-4252
5916,BIOMETRIKA,0006-3444
5916,INFANT BEHAVIOR & DEVELOPMENT,0163-6383
5916,Twin Research and Human Genetics,1832-4274
5919,EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS,0165-1587
5919,EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS,0165-1587
5919,HUMAN DEVELOPMENT,0018-716X
5919,International Theory,1752-9719
5919,JOURNAL OF PSYCHOACTIVE DRUGS,0279-1072
5919,Journal of Electronic Commerce Research,1526-6133
5919,NEW ZEALAND JOURNAL OF GEOLOGY AND GEOPHYSICS,0028-8306
5919,Qualitative Research in Psychology,1478-0887
5919,SOCIAL WORK,0037-8046
5919,Seminars in Oncology Nursing,0749-2081
5919,Seminars in Oncology Nursing,0749-2081
5930,ENVIRONMENTAL TECHNOLOGY,0959-3330
5930,SOLID-STATE ELECTRONICS,0038-1101
5932,JOURNAL OF CHILD NEUROLOGY,0883-0738
5932,JOURNAL OF FLUORESCENCE,1053-0509
5932,REVIEW OF PALAEOBOTANY AND PALYNOLOGY,0034-6667
5935,MINERALOGY AND PETROLOGY,0930-0708
5935,Oncology Letters,1792-1074
5937,EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT,0013-1644
5937,EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT,0013-1644
5937,Inland Waters,2044-2041
5940,AMERICAN JOURNAL OF MEDICAL QUALITY,1062-8606
5940,Psychology of Religion and Spirituality,1941-1022
5942,ENVIRONMENTAL ENTOMOLOGY,0046-225X
5942,International Journal of Precision Engineering and Manufacturing,2234-7593
5942,JOURNAL OF CLINICAL PHARMACY AND THERAPEUTICS,0269-4727
5942,STRESS AND HEALTH,1532-3005
5942,STRESS AND HEALTH,1532-3005
5947,BIOETHICS,0269-9702
5947,BIOETHICS,0269-9702
5947,CORROSION REVIEWS,0334-6005
5947,IEEE Transactions on Components Packaging and Manufacturing Technology,2156-3950
5947,Journal of Civil Engineering and Management,1392-3730
5947,Journal of the Chinese Medical Association,1726-4901
5953,Chinese Journal of International Law,1540-1650
5953,International Journal of Sediment Research,1001-6279
5953,Journal of Consumer Behaviour,1472-0817
5956,GRANULAR MATTER,1434-5021
5956,International Journal of Information Security,1615-5262
5956,Journal of Flow Chemistry,2062-249X
5956,Language Culture and Curriculum,0790-8318
5960,MALACOLOGIA,0076-2997
5960,PAPERS IN REGIONAL SCIENCE,1056-8190
5962,ANNALS OF NUCLEAR MEDICINE,0914-7187
5962,ANTIQUITY,0003-598X
5962,Libyan Journal of Medicine,1993-2820
5962,Politics,0263-3957
5966,EUROPEAN JOURNAL OF ORAL SCIENCES,0909-8836
5966,Journal of Plant Interactions,1742-9145
5966,LANGUAGE LEARNING,0023-8333
5966,Nuclear Engineering and Technology,1738-5733
5966,POLYMER-PLASTICS TECHNOLOGY AND ENGINEERING,0360-2559
5966,TRANSPLANT IMMUNOLOGY,0966-3274
5972,Animals,2076-2615
5972,COMPUTING,0010-485X
5972,GEOLOGICAL JOURNAL,0072-1050
5975,AIP Advances,2158-3226
5975,Advances in Data Analysis and Classification,1862-5347
5975,IRRIGATION SCIENCE,0342-7188
5975,Intensive and Critical Care Nursing,0964-3397
5975,Intensive and Critical Care Nursing,0964-3397
5980,ACTA HISTOCHEMICA,0065-1281
5980,Cardiovascular Ultrasound,1476-7120
5980,Conservation & Society,0972-4923
5980,Israel Journal of Health Policy Research,2045-4015
5980,PURE AND APPLIED GEOPHYSICS,0033-4553
5980,WELDING JOURNAL,0043-2296
5986,INVERTEBRATE SYSTEMATICS,1445-5226
5986,JOURNAL OF MUSCULOSKELETAL & NEURONAL INTERACTIONS,1108-7161
5986,NEURAL COMPUTATION,0899-7667
5986,TECHNOLOGY IN CANCER RESEARCH & TREATMENT,1533-0346
5990,AUSTRALIAN AND NEW ZEALAND JOURNAL OF CRIMINOLOGY,0004-8658
5990,BRAIN BEHAVIOR AND EVOLUTION,0006-8977
5990,JOURNAL OF ELASTICITY,0374-3535
5990,JOURNAL OF MICROBIOLOGY AND BIOTECHNOLOGY,1017-7825
5994,Computational Intelligence and Neuroscience,1687-5265
5994,POETICS,0304-422X
5994,Sex Education-Sexuality Society and Learning,1468-1811
5997,GROUND WATER MONITORING AND REMEDIATION,1069-3629
5997,JOURNAL OF HEALTH COMMUNICATION,1081-0730
5997,REMEDIAL AND SPECIAL EDUCATION,0741-9325
5997,SOCIAL INDICATORS RESEARCH,0303-8300
5997,STEREOTACTIC AND FUNCTIONAL NEUROSURGERY,1011-6125
6002,ANIMAL REPRODUCTION SCIENCE,0378-4320
6002,JOURNAL OF GENE MEDICINE,1099-498X
6004,JOURNAL OF APPLIED GEOPHYSICS,0926-9851
6004,MACROMOLECULAR THEORY AND SIMULATIONS,1022-1344
6004,SCANDINAVIAN JOURNAL OF PUBLIC HEALTH,1403-4948
6004,SCANDINAVIAN JOURNAL OF PUBLIC HEALTH,1403-4948
6008,Advances in Meteorology,1687-9309
6008,EMPLOYEE RELATIONS,0142-5455
6008,MINNESOTA LAW REVIEW,0026-5535
6008,Seminars in Pediatric Surgery,1055-8586
6012,ALLERGOLOGIA ET IMMUNOPATHOLOGIA,0301-0546
6012,POPULATION ECOLOGY,1438-3896
6014,DUKE LAW JOURNAL,0012-7086
6014,Signal Image and Video Processing,1863-1703
6014,TERRORISM AND POLITICAL VIOLENCE,0954-6553
6017,APPLIED SPECTROSCOPY,0003-7028
6017,CHEMOECOLOGY,0937-7409
6017,HUMAN ECOLOGY,0300-7839
6020,CONTRIBUTIONS TO ZOOLOGY,1383-4517
6020,Chemosensory Perception,1936-5802
6020,DECISION SCIENCES,0011-7315
6020,ECONOMICA,0013-0427
6020,GROUP DYNAMICS-THEORY RESEARCH AND PRACTICE,1089-2699
6020,Geotechnique Letters,2049-825X
6020,Politics & Gender,1743-923X
6027,Clinical Simulation in Nursing,1876-1399
6027,Clinical Simulation in Nursing,1876-1399
6027,IEEE COMPUTER GRAPHICS AND APPLICATIONS,0272-1716
6027,JASSS-THE JOURNAL OF ARTIFICIAL SOCIETIES AND SOCIAL SIMULATION,1460-7425
6027,JOURNAL OF CLINICAL NEUROSCIENCE,0967-5868
6027,MECHANICS RESEARCH COMMUNICATIONS,0093-6413
6033,Bioengineered,2165-5979
6033,EURASIP Journal on Advances in Signal Processing,1687-6180
6033,Economics of Energy & Environmental Policy,2160-5882
6033,HOUSING STUDIES,0267-3037
6033,Information Technology & People,0959-3845
6033,JOURNAL OF SOUTH AMERICAN EARTH SCIENCES,0895-9811
6039,JOURNAL OF MEMBRANE BIOLOGY,0022-2631
6039,KONA Powder and Particle Journal,0288-4534
6041,Computers and Concrete,1598-8198
6042,BioSocieties,1745-8552
6042,Journal of Linguistic Anthropology,1055-1360
6042,ROFO-FORTSCHRITTE AUF DEM GEBIET DER RONTGENSTRAHLEN UND DER BILDGEBENDEN VERFAHREN,1438-9029
6045,BMC MEDICAL IMAGING,1471-2342
6045,CLINICAL AUTONOMIC RESEARCH,0959-9851
6045,CROP SCIENCE,0011-183X
6045,Information Technology & Management,1385-951X
6045,JOURNAL OF CLINICAL NURSING,0962-1067
6045,JOURNAL OF CLINICAL NURSING,0962-1067
6045,JOURNAL OF REPRODUCTION AND DEVELOPMENT,0916-8818
6045,Nutrition Research and Practice,1976-1457
6053,Asian Pacific Journal of Tropical Medicine,1995-7645
6053,Ecological Complexity,1476-945X
6053,Energy Efficiency,1570-646X
6053,Energy Efficiency,1570-646X
6053,Mass Communication and Society,1520-5436
6058,Annals of Diagnostic Pathology,1092-9134
6058,BEHAVIOURAL AND COGNITIVE PSYCHOTHERAPY,1352-4658
6058,JOURNAL OF NON-EQUILIBRIUM THERMODYNAMICS,0340-0204
6058,Nonprofit Management & Leadership,1048-6682
6062,HEREDITAS,1601-5223
6062,JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS,0377-0427
6062,JOURNAL OF ECONOMETRICS,0304-4076
6062,JOURNAL OF ECONOMETRICS,0304-4076
6062,LEARNED PUBLISHING,0953-1513
6062,PHILOSOPHICAL MAGAZINE,1478-6435
6062,REVISTA ESPANOLA DE ENFERMEDADES DIGESTIVAS,1130-0108
6062,VETERINARY IMMUNOLOGY AND IMMUNOPATHOLOGY,0165-2427
6070,International Studies Review,1521-9488
6070,WASTE MANAGEMENT & RESEARCH,0734-242X
6072,Journal of the Institute of Mathematics of Jussieu,1474-7480
6072,Mind Brain and Education,1751-2271
6074,FRACTALS-COMPLEX GEOMETRY PATTERNS AND SCALING IN NATURE AND SOCIETY,0218-348X
6074,JOURNAL OF APPLIED ENTOMOLOGY,0931-2048
6076,Earth Science Informatics,1865-0473
6076,INTERNATIONAL JOURNAL OF GYNECOLOGICAL PATHOLOGY,0277-1691
6076,JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY,0278-4165
6076,MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA,1477-8599
6080,Journal of the Brazilian Society of Mechanical Sciences and Engineering,1678-5878
6081,AMERICAN JOURNAL OF HEALTH BEHAVIOR,1945-7359
6081,COLLEGE & RESEARCH LIBRARIES,0010-0870
6081,JOURNAL OF CAREER ASSESSMENT,1069-0727
6084,ACTA ETHOLOGICA,0873-9749
6084,CHEMISTRY LETTERS,0366-7022
6084,EDUCATIONAL REVIEW,0013-1911
6084,Energy Sustainability and Society,2192-0567
6084,INVERTEBRATE NEUROSCIENCE,1354-2516
6084,International Journal of Transitional Justice,1752-7716
6084,JOURNAL OF CELLULAR PLASTICS,0021-955X
6084,LAW & SOCIETY REVIEW,0023-9216
6084,Microscopy,2050-5698
6093,FISHERIES MANAGEMENT AND ECOLOGY,0969-997X
6093,JOURNAL OF THORACIC IMAGING,0883-5993
6093,Petroleum Science,1672-5107
6096,AMERICAN JOURNAL OF PERINATOLOGY,0735-1631
6096,EXPERIMENTAL AND CLINICAL ENDOCRINOLOGY & DIABETES,0947-7349
6096,JOURNAL OF INTERNATIONAL MONEY AND FINANCE,0261-5606
6096,JOURNAL OF SOCIOLINGUISTICS,1360-6441
6096,Journal of Digestive Diseases,1751-2972
6096,Journal of Geographical Sciences,1009-637X
6102,Canadian Journal of Gastroenterology and Hepatology,2291-2797
6102,ENGINEERING OPTIMIZATION,0305-215X
6102,Mobile Media & Communication,2050-1579
6102,THEORY CULTURE & SOCIETY,0263-2764
6106,ANNALES GEOPHYSICAE,0992-7689
6106,COMPTES RENDUS GEOSCIENCE,1631-0713
6106,Chemistry Education Research and Practice,1109-4028
6106,Chemistry Education Research and Practice,1109-4028
6106,PHYSICAL BIOLOGY,1478-3967
6111,AGEING & SOCIETY,0144-686X
6111,HUMAN NATURE-AN INTERDISCIPLINARY BIOSOCIAL PERSPECTIVE,1045-6767
6111,PHOTOMEDICINE AND LASER SURGERY,1549-5418
6111,REVIEW OF ECONOMIC DYNAMICS,1094-2025
6111,SOCIOLOGICAL FORUM,0884-8971
6116,BIOSYSTEMS,0303-2647
6116,International Transactions on Electrical Energy Systems,2050-7038
6116,Journal of Coatings Technology and Research,1945-9645
6116,Journal of Vascular Surgery-Venous and Lymphatic Disorders,2213-333X
6120,Diagnostic and Interventional Radiology,1305-3612
6120,IT Professional,1520-9202
6122,CHEMISTRY & BIODIVERSITY,1612-1872
6122,International Journal of Hypertension,2090-0384
6122,Korean Journal of Orthodontics,2234-7518
6125,GEOGRAFISKA ANNALER SERIES A-PHYSICAL GEOGRAPHY,0435-3676
6125,JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,0733-9437
6125,RESEARCH IN VETERINARY SCIENCE,0034-5288
6128,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,1146-609X
